Rank,Name,Count
767,Alannah,48
767,Blair,48
767,Brooklyn,48
767,Carys,48
767,Eleni,48
767,Iman,48
767,Ivy-Rae,48
767,Leonie,48
767,Neriah,48
767,Priya,48
767,Selina,48
767,Umaiza,48
779,Amyra,47
779,Aria-Rose,47
779,Cassidy,47
779,Chelsea,47
779,Elissa,47
779,Farah,47
779,Rania,47
779,Romi,47
779,Tamara,47
788,Artemis,46
788,Elliana,46
788,Florrie,46
788,Helen,46
788,Indi,46
788,Leona,46
788,Mabli,46
788,Natasha,46
788,Roisin,46
788,Romilly,46
788,Zayna,46
788,Zeynep,46
788,Zoha,46
801,Amaia,45
801,Anaiya,45
801,Angela,45
801,Deborah,45
801,Evie-Mae,45
801,Harriett,45
801,Jasmin,45
801,Lily-May,45
801,Luisa,45
801,Maliha,45
801,Ronnie,45
812,Alexia,44
812,Angelina,44
812,Azalea,44
812,Celia,44
812,Dalia,44
812,Effy,44
812,Elif,44
812,Harleen,44
812,Melanie,44
812,Merryn,44
812,Nansi,44
812,Prisha,44
812,Wiktoria,44
812,Willow-Rose,44
812,Zadie,44
812,Zelda,44
828,Aylin,43
828,Brielle,43
828,Camila,43
828,Efa,43
828,Jiya,43
828,Kaja,43
828,Lula,43
828,Luna-Rae,43
828,Nel,43
828,Reina,43
828,Serenity,43
828,Sierra,43
840,Aasiyah,42
840,Araya,42
840,Ayva,42
840,Daisy-May,42
840,Dollie,42
840,Everlyn,42
840,Kendall,42
840,Kinza,42
840,Leela,42
840,Mahira,42
840,Malika,42
840,Monroe,42
840,Pia,42
840,Rahma,42
840,Raine,42
840,Renesmae,42
840,Sage,42
840,Samira,42
840,Yasmine,42
840,Zunaira,42
860,Abbie,41
860,Avie,41
860,Avneet,41
860,Blanka,41
860,Cadi,41
860,Dania,41
860,Daniela,41
860,Darcie-Mae,41
860,Dusty,41
860,Elysia,41
860,Goldie,41
860,Isla-Grace,41
860,Ivie,41
860,Leni,41
860,Lilly-Rose,41
860,Lowri,41
860,Melania,41
860,Myla-Rose,41
860,Noura,41
860,Nuala,41
860,Sama,41
860,Sunday,41
860,Zarah,41
860,Zaynah,41
884,Agatha,40
884,Amarah,40
884,Arisha,40
884,Avani,40
884,Ayaat,40
884,Chaya,40
884,Dorothea,40
884,Elia,40
884,Eryn,40
884,Gigi,40
884,Hidayah,40
884,Indy,40
884,Miruna,40
884,Naia,40
884,Nour,40
884,Shiloh,40
884,Teodora,40
901,Aafiyah,39
901,Baani,39
901,Elsie-Rose,39
901,Freja,39
901,Juliette,39
901,Leonora,39
901,Lorena,39
901,Madiha,39
901,Malak,39
901,Medina,39
901,Nahla,39
901,Navy,39
901,Nikola,39
901,Raisa,39
901,Rayna,39
901,Roxanne,39
901,Zendaya,39
918,Autumn-Rose,38
918,Beatriz,38
918,Casey,38
918,Clover,38
918,Dina,38
918,Dotty,38
918,Fallon,38
918,Isobelle,38
918,Keziah,38
918,Lilliana,38
918,Lyla-Rose,38
918,Mimi,38
918,Oona,38
918,Orlagh,38
918,Parker,38
918,Raina,38
918,Renae,38
918,Savanna,38
936,Alissa,37
936,Amna,37
936,Ariel,37
936,Ashley,37
936,Bryony,37
936,Clemmie,37
936,Elspeth,37
936,Enid,37
936,Husna,37
936,Isha,37
936,Kehlani,37
936,Lorelai,37
936,Madina,37
936,Melina,37
936,Mikayla,37
936,Noelle,37
936,Payton,37
936,Poppie,37
936,Riva,37
936,Romie,37
936,Saanvi,37
957,Abiha,36
957,Alaiya,36
957,Amora,36
957,Annalise,36
957,Asma,36
957,Aylah,36
957,Bianka,36
957,Caoimhe,36
957,Cordelia,36
957,Dana,36
957,Evalyn,36
957,Heather,36
957,Iga,36
957,Jayla,36
957,Kaitlyn,36
957,Luna-Rose,36
957,Mari,36
957,Milan,36
957,Niya,36
957,Paula,36
957,Rehmat,36
957,Rosabella,36
957,Rosalind,36
957,Safiyah,36
957,Wynter-Rose,36
957,Xanthe,36
983,Aadhya,35
983,Andreea,35
983,Arabella-Rose,35
983,Ayzel,35
983,Bobbi,35
983,Claire,35
983,Elisabeth,35
983,Elouise,35
983,Estelle,35
983,Ezra,35
983,Georgiana,35
983,Greta,35
983,Haaniya,35
983,Kathleen,35
983,Kenza,35
983,Kornelia,35
983,Maysa,35
983,Nayla,35
983,Neveah,35
983,Nieve,35
983,Reem,35
983,Willow-Grace,35
983,Yana,35
983,Yumna,35
1007,Afiyah,34
1007,Aleeza,34
1007,Anays,34
1007,Angelica,34
1007,Ariadne,34
1007,Azra,34
1007,Birdie,34
1007,Daisie,34
1007,Dixie,34
1007,Elaina,34
1007,Ellis,34
